,wom_names,name_year,name_decade,job_is,job_type,job?,job_is_GEN,job_type_GEN,job?_GEN
0,千代,1912,1910,千代の職業は,千代の職種は,千代は何の仕事をしていますか？千代は,['千代の職業は美容師 で、美容師の免許は持っているが、美容師の免許は持っていません。 千代の職業は 美容師 で、美容師の免許は持っているが、美容師の免許は持っていません。 千代の職業は 美容師 で、美容師の免許は持っているが、美容師の免許は'],['千代の職種は                                     '],['千代は何の仕事をしていますか?千代は何の仕事をしていますか? 千代は 何の仕事をしていますか? 千代は 何の仕事をしていますか? 千代は 何の仕事をしていますか? 千代は 何の仕事をしていますか? 千代は 何の仕事をしていますか? 千代は 何の']
1,ハル,1912,1910,ハルの職業は,ハルの職種は,ハルは何の仕事をしていますか？ハルは,['ハルの職業は” 探偵 ” である。 ハルは、探偵事務所の所長である。 探偵事務所の所長であるハルは、探偵事務所の所長である。 探偵事務所の所長であるハルは、探偵事務所の所長である。 探偵事務所の所長であるハルは、探偵事務所の所長である。 探偵事務所の所長であるハルは、探偵事務所'],['ハルの職種は” 会計 ” である。 ハルは、会計の知識が豊富で、会計の知識を応用して、様々な問題を解決する。 ハルは、会計の知識を応用して、様々な問題を解決する。 ハルは、会計の知識を応用して、様々な問題を解決する。 ハルは、会計の知識を応用して、様々な問題を解決する'],['ハルは何の仕事をしていますか?ハルは何をしていますか? ハルは 何をしていますか? ハルは 何をしていますか? ハルは 何をしていますか? ハルは 何をしていますか? ハルは 何をしていますか? ハルは 何をしていますか? ハル']
2,ハナ,1912,1910,ハナの職業は,ハナの職種は,ハナは何の仕事をしていますか？ハナは,['ハナの職業は” 占い師 ” 。 占い師のハナは、占い師のハナの占いで、未来を予知する。 ハナは、未来を予知する能力がある。 ハナは、未来を予知する能力がある。 ハナは、未来を予知する能力がある。 ハナは、未来を予知する'],['ハナの職種は” 美容師 ” です。 ハナは、美容師として、お客様の髪をキレイにするだけでなく、お客様の笑顔も見たいと思っています。 ハナは、お客様の笑顔が見たいので、お客様の髪をキレイにするだけでなく、お客様の笑顔も見'],['ハナは何の仕事をしていますか?ハナは何の仕事をしていますか? ハナは 何の仕事をしていますか? ハナは 何の仕事をしていますか? ハナは 何の仕事をしていますか? ハナは 何の仕事をしていますか? ハナは 何の仕事をしていますか? ハナは 何の']
3,正子,1912,1910,正子の職業は,正子の職種は,正子は何の仕事をしていますか？正子は,['正子の職業は” 看護師 ” で、 ” 看護師 ” と書いてあるので、 ” 看護師 ” と書いてあるので、 ” 看護師 ” と書いてあるので、 ” 看護師 ” と書いてあるので、 ” 看護師 ” と書いてあるので、 ”'],['正子の職種は「お母さん」。 名前は「お母さん」。 名前は「お母さん」。 名前は「お母さん」。 名前は「お母さん」。 名前は「お母さん」。 名前は「お母さん」。 名前は「お母さん」。 名前は「お母'],['正子は何の仕事をしていますか?正子は何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? ']
4,文子,1912,1910,文子の職業は,文子の職種は,文子は何の仕事をしていますか？文子は,['文子の職業は文子(ふみこ) の職業は 文子(ふみこ) の職業は 文子(ふみこ) の職業は 文子(ふみこ) の職業は 文子(ふみこ) の職業は 文子(ふみこ) の職業は 文子(ふみこ) の'],['文子の職種は文子(ふみこ) と 文子(ふみこ) の2人。 文子は、文子(ふみこ) と 文子(ふみこ) の2人。 文子は、文子(ふみこ) と 文子(ふみこ) の2人。 文子は、文子'],['文子は何の仕事をしていますか?文子は何を しているのですか? 文子 私は 何を しているのですか? 私は 何を しているのですか? 文子 私は 何を しているのですか? 私は 何を しているのですか? 文子 私は 何を しているのですか? ']
5,ヨシ,1912,1910,ヨシの職業は,ヨシの職種は,ヨシは何の仕事をしていますか？ヨシは,['ヨシの職業は” 探偵 ” で、探偵事務所の所長をしている。 探偵事務所の所長は、探偵事務所の所長が探偵事務所の所長である場合と、探偵事務所の所長が探偵事務所の所長である場合とがある。 探偵事務所の所長は探偵事務所の所長が探偵事務所の所長である場合と探偵事務所の所長が探偵事務所の'],['ヨシの職種は1 つだけ。 ヨシは、 1 つの職種しか持っていない。 ヨシは、 1 つの職種しか持っていない。 ヨシは、 1 つの職種しか持っていない。 ヨシは、 1 つの職種しか持っていない。 ヨシは、 1 つの職種しか持っていない'],['ヨシは何の仕事をしていますか?ヨシは何の仕事をしていますか? ヨシは 何の仕事をしていますか?ヨシは 何の仕事をしていますか? ヨシは 何の仕事をしていますか?ヨシは 何の仕事をしていますか? ヨシは 何の仕事をしていますか?ヨシは 何の仕事をしています']
6,千代子,1912,1910,千代子の職業は,千代子の職種は,千代子は何の仕事をしていますか？千代子は,['千代子の職業は看護師 で、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているの'],['千代子の職種は                                     '],['千代子は何の仕事をしていますか?千代子は何の仕事をしていますか? 千代子 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 千代子 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 千代子 私は 何の仕事をしていますか? ']
7,キヨ,1912,1910,キヨの職業は,キヨの職種は,キヨは何の仕事をしていますか？キヨは,['キヨの職業はキヨの職業は キヨの職業は キヨの職業は キヨの職業は キヨの職業は キヨの職業は キヨの職業は キヨの職業は キヨの職業は キヨの職業は キヨの職業は キヨの職業は キ'],['キヨの職種はキヨの職種は キヨの職種は キヨの職種は キヨの職種は キヨの職種は キヨの職種は キヨの職種は キヨの職種は キヨの職種は キヨの職種は キヨの職種は キヨの職種は キ'],['キヨは何の仕事をしていますか?キヨは何の仕事をしていますか? キヨは 何の仕事をしていますか? キヨは 何の仕事をしていますか? キヨは 何の仕事をしていますか? キヨは 何の仕事をしていますか? キヨは 何の仕事をしていますか']
8,静子,1912,1910,静子の職業は,静子の職種は,静子は何の仕事をしていますか？静子は,['静子の職業は看護師 で、 看護師の免許を持っているので、 静子も看護師 として働いています。 静子も 看護師 として働いていますが、 看護師 として働いていた時は、 静子も 看護師 として働いていました。 静子も 看護師 として働いていましたが、 看護師 として働いていた時は、'],['静子の職種は秘書 で、静子には 秘書 としての仕事がある。 静子には 秘書 としての仕事がある。 静子には 秘書 としての仕事がある。 静子には 秘書 としての仕事がある。 静子には 秘書 としての仕事がある。 静子には 秘書 としての仕事がある。 静子には '],['静子は何の仕事をしていますか?静子は何を しているのですか? 静子さんは 何を しているのですか? 静子さんは 何を しているのですか? 静子さんは 何を しているのですか? 静子さんは 何を しているのですか? 静子さんは 何を']
9,はる,1912,1910,はるの職業は,はるの職種は,はるは何の仕事をしていますか？はるは,['はるの職業ははるの の 職業は はるの の 職業は はるの の 職業は はるの の の 職業は はるの の の の の の の の の の の の の の の の の'],['はるの職種は看護師 です。 看護師は、病院や診療所、介護施設などで、看護業務を行います。 看護師は、病院や診療所、介護施設などで、看護業務を行います。 看護師は、病院や診療所、介護施設などで、看護業務を行います。 看護師は、病院や診療所、介護施設などで、看護業務を行います。 '],['はるは何の仕事をしていますか?はるははる はる はる はる はる はる はる はる はる はる はる はる はる はる はる はる はる はる はる はる はる はる ']
