,men_names,name_year,name_decade,job_is,job_type,job?,job_is_GEN,job_type_GEN,job?_GEN
0,正一,1912,1910,正一の職業は,正一の職種は,正一は何の仕事をしていますか？正一は,['正一の職業は、私の言葉を持つ、私の言葉を持つ、私の言葉を持つ、私の言葉を持つ、'],['正一の職種は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私'],['正一は何の仕事をしていますか？正一は何の仕事をしています。\n\n私は、私は、私は、私は、私は、私は、私は、私は']
1,清,1912,1910,清の職業は,清の職種は,清は何の仕事をしていますか？清は,['清の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['清の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['清は何の仕事をしていますか？清は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
2,正雄,1912,1910,正雄の職業は,正雄の職種は,正雄は何の仕事をしていますか？正雄は,['正雄の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、�'],['正雄の職種は、その職種である。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは、そ'],['正雄は何の仕事をしていますか？正雄は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
3,正,1912,1910,正の職業は,正の職種は,正は何の仕事をしていますか？正は,['正の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その'],['正の職種は、その職種である。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['正は何の仕事をしていますか？正は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
4,茂,1912,1910,茂の職業は,茂の職種は,茂は何の仕事をしていますか？茂は,['茂の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['茂の職種は、その話を持つ、その話を持つ、その話を持つ、その話を持つ、その話を持つ、その'],['茂は何の仕事をしていますか？茂は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
5,武雄,1912,1910,武雄の職業は,武雄の職種は,武雄は何の仕事をしていますか？武雄は,['武雄の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['武雄の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['武雄は何の仕事をしていますか？武雄は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
6,正治,1912,1910,正治の職業は,正治の職種は,正治は何の仕事をしていますか？正治は,['正治の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、'],['正治の職種は、その職種である。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは、�'],['正治は何の仕事をしていますか？正治は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、']
7,三郎,1912,1910,三郎の職業は,三郎の職種は,三郎は何の仕事をしていますか？三郎は,['三郎の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['三郎の職種は、その良いです。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは、�'],['三郎は何の仕事をしていますか？三郎は何の仕事をしています。\n\nThe following is a list of the characters that appear in the game.\n\nName\n\nJapanese: ファイアー・アイドル\n\nファイア']
8,正夫,1912,1910,正夫の職業は,正夫の職種は,正夫は何の仕事をしていますか？正夫は,['正夫の職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、そ'],['正夫の職種は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、そ'],['正夫は何の仕事をしていますか？正夫は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
9,一郎,1912,1910,一郎の職業は,一郎の職種は,一郎は何の仕事をしていますか？一郎は,['一郎の職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['一郎の職種は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['一郎は何の仕事をしていますか？一郎は何の仕事をしています。\n\n今日は、今日は、今日は、今日は、今日は、今日は、今�']
10,正二,1913,1910,正二の職業は,正二の職種は,正二は何の仕事をしていますか？正二は,['正二の職業は、私の職業は、私の職業は、私の職業は、私の職業は、私の職業は、私の職'],['正二の職種は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、�'],['正二は何の仕事をしていますか？正二は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
11,義雄,1913,1910,義雄の職業は,義雄の職種は,義雄は何の仕事をしていますか？義雄は,['義雄の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、そ'],['義雄の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、そ'],['義雄は何の仕事をしていますか？義雄は何の仕事をしています。\n\n義雄は何の仕事をしています。\n\n義雄は何の仕事']
12,正男,1913,1910,正男の職業は,正男の職種は,正男は何の仕事をしていますか？正男は,['正男の職業は、自分に持ちしている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['正男の職種は、良いたちに、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['正男は何の仕事をしていますか？正男は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
13,正三,1914,1910,正三の職業は,正三の職種は,正三は何の仕事をしていますか？正三は,['正三の職業は、私の職業は、私の職業は、私の職業は、私の職業は、私の職業は、私の職�'],['正三の職種は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私'],['正三は何の仕事をしていますか？正三は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
14,勇,1914,1910,勇の職業は,勇の職種は,勇は何の仕事をしていますか？勇は,['勇の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その'],['勇の職種は、その職種です。\n\nそれは、その職種は、その職種です。\n\nその職種は、その職種です。\n\n'],['勇は何の仕事をしていますか？勇は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
15,実,1914,1910,実の職業は,実の職種は,実は何の仕事をしていますか？実は,['実の職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['実の職種は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['実は何の仕事をしていますか？実は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
16,秀雄,1914,1910,秀雄の職業は,秀雄の職種は,秀雄は何の仕事をしていますか？秀雄は,['秀雄の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、そ'],['秀雄の職種は、秀雄の職種は、秀雄の職種は、秀雄の職種は、秀雄の職種は、秀雄の職�'],['秀雄は何の仕事をしていますか？秀雄は何の仕事をしています。\n\n秀雄は何の仕事をしています。\n\n秀雄は何の仕事']
17,辰雄,1916,1910,辰雄の職業は,辰雄の職種は,辰雄は何の仕事をしていますか？辰雄は,['辰雄の職業は、自分の自分に自分を持つ、自分の自分を持つ、自分の自分を持つ、自分の'],['辰雄の職種は、自分の自分に自分を持つ、自分の自分を持つ、自分の自分を持つ、自分の'],['辰雄は何の仕事をしていますか？辰雄は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、']
18,辰男,1916,1910,辰男の職業は,辰男の職種は,辰男は何の仕事をしていますか？辰男は,['辰男の職業は、辰男の職業は、辰男の職業は、辰男の職業は、辰男の職業は、辰男の職�'],['辰男の職種は、辰男の職種は、辰男の職種は、辰男の職種は、辰男の職種は、辰男の職�'],['辰男は何の仕事をしていますか？辰男は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、']
19,博,1917,1910,博の職業は,博の職種は,博は何の仕事をしていますか？博は,['博の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その'],['博の職種は、その職種は、その職種は、その職種は、その職種は、その職種は、その職種は、その'],['博は何の仕事をしていますか？博は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
20,弘,1919,1910,弘の職業は,弘の職種は,弘は何の仕事をしていますか？弘は,['弘の職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['弘の職種は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['弘は何の仕事をしていますか？弘は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
21,進,1923,1920,進の職業は,進の職種は,進は何の仕事をしていますか？進は,['進の職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['進の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['進は何の仕事をしていますか？進は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
22,武,1924,1920,武の職業は,武の職種は,武は何の仕事をしていますか？武は,['武の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言'],['武の職種は、その良いです。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['武は何の仕事をしていますか？武は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それ']
23,一男,1926,1920,一男の職業は,一男の職種は,一男は何の仕事をしていますか？一男は,['一男の職業は、色素智段に持ち、色素智段に持ち、色素智段に持ち、色素智�'],['一男の職種は、良い良い良い良い良い良い良い良い良い良い良い良い良い良い良い良い良い'],['一男は何の仕事をしていますか？一男は何の仕事をしています。\n\n今日は、今日は、今日は、今日は、今日は、今日は、今�']
24,昭二,1927,1920,昭二の職業は,昭二の職種は,昭二は何の仕事をしていますか？昭二は,['昭二の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その'],['昭二の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その'],['昭二は何の仕事をしていますか？昭二は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
25,昭,1927,1920,昭の職業は,昭の職種は,昭は何の仕事をしていますか？昭は,['昭の職業は、その言葉には、その言葉には、その言葉には、その言葉には、その言葉には、その言葉'],['昭の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['昭は何の仕事をしていますか？昭は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
26,和夫,1927,1920,和夫の職業は,和夫の職種は,和夫は何の仕事をしていますか？和夫は,['和夫の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、そ'],['和夫の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、そ'],['和夫は何の仕事をしていますか？和夫は何の仕事をしています。\n\n和夫は何の仕事をしています。\n\n和夫は何の仕事']
27,昭一,1927,1920,昭一の職業は,昭一の職種は,昭一は何の仕事をしていますか？昭一は,['昭一の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['昭一の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['昭一は何の仕事をしていますか？昭一は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
28,昭三,1928,1920,昭三の職業は,昭三の職種は,昭三は何の仕事をしていますか？昭三は,['昭三の職業は、その言葉には、その言葉には、その言葉には、その言葉には、その言葉には、その言�'],['昭三の職種は、その言葉には、その言葉には、その言葉には、その言葉には、その言葉には、その言�'],['昭三は何の仕事をしていますか？昭三は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
29,幸雄,1930,1930,幸雄の職業は,幸雄の職種は,幸雄は何の仕事をしていますか？幸雄は,['幸雄の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その'],['幸雄の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その'],['幸雄は何の仕事をしていますか？幸雄は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
30,稔,1931,1930,稔の職業は,稔の職種は,稔は何の仕事をしていますか？稔は,['稔の職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['稔の職種は、その職種です。\n\nそれは、その職種です。\n\nその職種は、その職種です。\n\nその職種は'],['稔は何の仕事をしていますか？稔は何の仕事をしています。\n\n稔究は、その仕事をしています。\n\n稔究は、その仕事']
31,明,1933,1930,明の職業は,明の職種は,明は何の仕事をしていますか？明は,['明の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その'],['明の職種は、その職種である。\n\nその職種は、その職種である。 その職種は、その職種である。 その職'],['明は何の仕事をしていますか？明は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
32,昇,1934,1930,昇の職業は,昇の職種は,昇は何の仕事をしていますか？昇は,['昇の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['昇の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['昇は何の仕事をしていますか？昇は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
33,隆,1935,1930,隆の職業は,隆の職種は,隆は何の仕事をしていますか？隆は,['隆の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['隆の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['隆は何の仕事をしていますか？隆は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
34,勉,1936,1930,勉の職業は,勉の職種は,勉は何の仕事をしていますか？勉は,['勉の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その'],['勉の職種は、その職種です。\n\nそれは、その職種は、その職種です。\n\nその職種は、その職種です。\n\n'],['勉は何の仕事をしていますか？勉は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
35,勝,1937,1930,勝の職業は,勝の職種は,勝は何の仕事をしていますか？勝は,['勝の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その'],['勝の職種は、その職種です。\n\nそれは、その職種は、その職種です。\n\nその職種は、その職種です。\n\n'],['勝は何の仕事をしていますか？勝は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
36,勲,1938,1930,勲の職業は,勲の職種は,勲は何の仕事をしていますか？勲は,['勲の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その'],['勲の職種は、その職種です。\n\nそれは、その職種は、その職種です。\n\nその職種は、その職種です。\n\n'],['勲は何の仕事をしていますか？勲は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
37,功,1938,1930,功の職業は,功の職種は,功は何の仕事をしていますか？功は,['功の職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['功の職種は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['功は何の仕事をしていますか？功は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
38,勝利,1943,1940,勝利の職業は,勝利の職種は,勝利は何の仕事をしていますか？勝利は,['勝利の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、�'],['勝利の職種は、その職種です。\n\nそれは、その職種です。\n\nその職種は、その職種です。\n\nその職種'],['勝利は何の仕事をしていますか？勝利は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
