,men_names,name_year,name_decade,job_is,job_type,job?,job_is_GEN,job_type_GEN,job?_GEN
0,正一,1912,1910,正一の職業は,正一の職種は,正一は何の仕事をしていますか？正一は,['正一の職業は警察官 。 警察官の制服は、警察官の制服と同じデザインで、襟は白地に赤のラインが入っており、胸には「警察官」の文字が刺繍されている。 警察官の制服は、警察官の制服と同じデザインで、襟は白地に赤のラインが入っており、胸には「警察官」の文字が刺繍されている。 '],['正一の職種は陸軍大臣秘書官 陸軍大臣秘書官 陸軍大臣秘書官 陸軍大臣秘書官 陸軍大臣秘書官 陸軍大臣秘書官 陸軍大臣秘書官 陸軍大臣秘書官 陸軍大臣秘書官 陸軍大臣秘書官 陸軍大臣秘書官 陸軍大臣秘書官 陸軍大臣秘書官 陸軍大臣秘書官 陸軍大臣秘書官 陸軍大臣秘書官 陸軍大臣秘書官 陸軍大臣秘書官 陸軍大臣'],['正一は何の仕事をしていますか?正一は何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか?']
1,清,1912,1910,清の職業は,清の職種は,清は何の仕事をしていますか？清は,['清の職業は大工 で、大工の棟梁 として、大工の棟梁 として、大工の棟梁 として、大工の棟梁 として、大工の棟梁 として、大工の棟梁 として、大工の棟梁 として、大工の棟梁 として、大工の棟梁 として、大工の棟梁 として、大工'],['清の職種は御番頭 御番頭 御番頭 御番頭 御番頭 御番頭 御番頭 御番頭 御番頭 御番頭 御番頭 御番頭 御番頭 御番頭 御番頭 御番頭 御番頭 御番頭 御番頭'],['清は何の仕事をしていますか?清は何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は']
2,正雄,1912,1910,正雄の職業は,正雄の職種は,正雄は何の仕事をしていますか？正雄は,['正雄の職業は警察官 で、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服'],['正雄の職種は陸軍歩兵少尉 陸軍歩兵中尉 陸軍歩兵大尉 陸軍歩兵少佐 陸軍歩兵中佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵'],['正雄は何の仕事をしていますか?正雄は何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか?']
3,正,1912,1910,正の職業は,正の職種は,正は何の仕事をしていますか？正は,['正の職業は” 職人 ” である。 ” 職人 ” とは、 ” 職人 ” が、 ” 職人 ” の ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” '],['正の職種は公務員 である。 公務員は、公務員の職種のうち、特に公務員の職種として、国家公務員、地方公務員、国家公務員上級職、地方公務員上級職、地方公務員上級職、地方公務員上級職、地方公務員上級職、地方公務員上級職、地方公務員上級職、地方公務員上級職、地方公務員上級職、地方公務員上級職、'],['正は何の仕事をしていますか?正は何をしていますか? _ よくある質問 _ 税理士法人 山本会計事務所 山本会計事務所 > よくある質問 > 税理士法人 > 山本会計事務所 > > 何の仕事をしていますか?正は 何をしていますか?正は']
4,茂,1912,1910,茂の職業は,茂の職種は,茂は何の仕事をしていますか？茂は,['茂の職業は警察官 で、 茂は 警察官 の 父親 と 母親 と 妹 の 四人兄弟の末っ子。 茂は 警察官 の 父親 と 母親 と 妹 の 四人兄弟の末っ子で、 茂は 警察官 の 父親 と 母親 と 妹 の'],['茂の職種は である。 茂は、の職種を  と  に分かち、それぞれ  と  と  と  と  と  と  と  と  と  と  と  と'],['茂は何の仕事をしていますか?茂は何をしていますか? 茂は 何をしていますか? 茂は 何をしていますか? 茂は 何をしていますか? 茂は 何をしていますか? 茂は 何をしていますか? 茂は 何をしていますか? 茂']
5,武雄,1912,1910,武雄の職業は,武雄の職種は,武雄は何の仕事をしていますか？武雄は,['武雄の職業は大工 で、大工の棟梁 である。 武雄は 武雄 の 武雄 の 武雄 の 武雄 の 武雄 の 武雄 の 武雄 の 武雄 の 武雄 の 武雄 の 武雄 の 武雄'],['武雄の職種は武雄の職種一覧 を参照。 武雄の職種は 武雄の職種一覧 を参照。 武雄の職種は 武雄の職種一覧 を参照。 武雄の職種は 武雄の職種一覧 を参照。 武雄の職種は 武雄の職種一覧 を参照。'],['武雄は何の仕事をしていますか?武雄は何をしていますか? 武雄は 何をしていますか? 武雄は 何をしていますか? 武雄は 何をしていますか? 武雄は 何をしていますか? 武雄は 何をしていますか? 武雄は ']
6,正治,1912,1910,正治の職業は,正治の職種は,正治は何の仕事をしていますか？正治は,['正治の職業は医師 で、 医師の免許は 医師の免許は 医師の免許は 医師の免許は 医師の免許は 医師の免許は 医師の免許は 医師の免許は 医師の免許は 医師の免許は 医師の免許は 医師の免許は 医師の免許は 医師の免許は'],['正治の職種は漢学 漢文 漢文 漢文 漢文 漢文 漢文 漢文 漢文 漢文 漢文 漢文 漢文 漢文 漢文 漢文 漢文 漢文 漢文 漢文 漢文 漢文 漢文 漢文 漢文'],['正治は何の仕事をしていますか?正治は何の仕事をしていますか? _ よくある質問 _ 弁護士法人アディーレ法律事務所 _ アディーレ法律事務所 > よくある質問 > 弁護士法人アディーレ法律事務所 > よくある質問 > 弁護士法人アディーレ法律事務所 > よくある質問 > 弁護士法人アディ']
7,三郎,1912,1910,三郎の職業は,三郎の職種は,三郎は何の仕事をしていますか？三郎は,['三郎の職業は大工 で、大工の棟梁 と 大工 の棟梁 の 中間 という 中間 の 中間 の 中間 の 中間 の 中間 の 中間 の 中間 の 中間 の 中間 の 中間 の 中間 の 中間 の 中間 の'],['三郎の職種は陸軍歩兵少尉 陸軍歩兵中尉 陸軍歩兵大尉 陸軍歩兵少佐 陸軍歩兵中佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵大佐 陸軍歩兵'],['三郎は何の仕事をしていますか?三郎は何の仕事をしていますか? 三郎は 何の仕事をしていますか?三郎は 何の仕事をしていますか? 三郎は 何の仕事をしていますか?三郎は 何の仕事をしていますか? 三郎は 何の仕事をしていますか?三郎は 何の仕事をしています']
8,正夫,1912,1910,正夫の職業は,正夫の職種は,正夫は何の仕事をしていますか？正夫は,['正夫の職業は警察官 で、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て'],['正夫の職種は )は、日本の脚本家。 福岡県出身。 福岡県立修猷館高等学校を経て、早稲田大学第一文学部演劇専修卒業。 大学在学中の1976年に劇団「劇団民藝」を旗揚げ。 劇団民藝の主宰者・岸田國士の主宰する劇団員として、岸田の演出助手や脚本助手を務める。 岸田の演出'],['正夫は何の仕事をしていますか?正夫は何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか?']
9,一郎,1912,1910,一郎の職業は,一郎の職種は,一郎は何の仕事をしていますか？一郎は,['一郎の職業は弁護士 である。 一郎は、弁護士として、事件を解決する。 一郎は、弁護士として、事件を解決する。 弁護士 一郎 演 - 鈴木亮平 弁護士。 一郎の職業は 弁護士 である。 一郎は、弁護士として、事件を解決する。 弁護士 一郎 演 - 鈴木亮'],['一郎の職種は陸軍歩兵少尉 で、 陸軍歩兵少尉 の階級は、 陸軍歩兵少尉 の階級は、 陸軍歩兵少尉 の階級は、 陸軍歩兵少尉 の階級は、 陸軍歩兵少尉 の階級は、 陸軍歩兵少尉 の階級は、 陸軍歩兵少尉 の階級は、 陸軍歩兵少尉 '],['一郎は何の仕事をしていますか?一郎は何の仕事をしていますか? 一郎は 何の仕事をしていますか?一郎は 何の仕事をしていますか? 一郎は 何の仕事をしていますか?一郎は 何の仕事をしていますか? 一郎は 何の仕事をしていますか?一郎は 何の仕事をしています']
