,wom_names,name_year,name_decade,job_is,job_type,job?,job_is_GEN,job_type_GEN,job?_GEN
0,千代,1912,1910,千代の職業は,千代の職種は,千代は何の仕事をしていますか？千代は,['千代の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['千代の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['千代は何の仕事をしていますか？千代は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
1,ハル,1912,1910,ハルの職業は,ハルの職種は,ハルは何の仕事をしていますか？ハルは,['ハルの職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['ハルの職種は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['ハルは何の仕事をしていますか？ハルは何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
2,ハナ,1912,1910,ハナの職業は,ハナの職種は,ハナは何の仕事をしていますか？ハナは,['ハナの職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['ハナの職種は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['ハナは何の仕事をしていますか？ハナは何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
3,正子,1912,1910,正子の職業は,正子の職種は,正子は何の仕事をしていますか？正子は,['正子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['正子の職種は、その職種である。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['正子は何の仕事をしていますか？正子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
4,文子,1912,1910,文子の職業は,文子の職種は,文子は何の仕事をしていますか？文子は,['文子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['文子の職種は、その職種である。\n\nその職種は、その職種である。 その職種は、その職種である。 その�'],['文子は何の仕事をしていますか？文子は何の仕事をしています。\n\n私は、私の仕事をしています。\n\n私は、私の仕事をしてい']
5,ヨシ,1912,1910,ヨシの職業は,ヨシの職種は,ヨシは何の仕事をしていますか？ヨシは,['ヨシの職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['ヨシの職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['ヨシは何の仕事をしていますか？ヨシは何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
6,千代子,1912,1910,千代子の職業は,千代子の職種は,千代子は何の仕事をしていますか？千代子は,['千代子の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その'],['千代子の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その'],['千代子は何の仕事をしていますか？千代子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
7,キヨ,1912,1910,キヨの職業は,キヨの職種は,キヨは何の仕事をしていますか？キヨは,['キヨの職業は、その記憶には、その記憶には、その記憶には、その記憶には、その記憶には、その記�'],['キヨの職種は、その記憶には、その記憶には、その記憶には、その記憶には、その記憶には、その記�'],['キヨは何の仕事をしていますか？キヨは何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
8,静子,1912,1910,静子の職業は,静子の職種は,静子は何の仕事をしていますか？静子は,['静子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、�'],['静子の職種は、その職種です。\n\nそれは、その職種です。\n\nその職種は、その職種です。\n\nその職種'],['静子は何の仕事をしていますか？静子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
9,はる,1912,1910,はるの職業は,はるの職種は,はるは何の仕事をしていますか？はるは,['はるの職業は、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['はるの職種は、その職種は、その職種は、その職種は、その職種は、その職種は、その職種は、その'],['はるは何の仕事をしていますか？はるは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは、�']
